Team Name,Team Number,Match 1,Match 2,Match 3,Top Score
Concourse Calming Crew,1,/,/,/,0
Rector Cougars,2,/,/,/,0
Rock City Robots,3,/,/,/,0
Whatchamacallits,4,/,/,/,0
The MindSweepers,5,/,/,/,0
Robo Rebels,6,/,/,/,0
Lego Nation,7,/,/,/,0
Big Brain Bros,8,/,/,/,0
Warriorbots,9,/,/,/,0
CrossBots,10,/,/,/,0
Bosses of Haas,11,/,/,/,0
Gardner Gearheads,12,/,/,/,0
Orion,13,/,/,/,0
Flame,14,/,/,/,0
Herobotics,15,/,/,/,0
C.H.A.D. HogBots,16,/,/,/,0
Hackett Highflyers,17,/,/,/,0
TechNOlogic,18,/,/,/,0
RoboCats!,19,75,/,/,75
Unique Geeks,20,/,/,/,0
Pixel Snakes,21,/,/,/,0
Pinkston Robotics,22,/,/,/,0
Ramsey R.O.V.E.Rs,23,/,/,/,0
Helpful Hogs,24,/,/,/,0
Ballman Bears,25,/,/,/,0
Barling Bobcats,26,/,/,/,0
Spradling Eagles,27,/,/,/,0
Tilles Tigers,28,/,/,/,0
Blue Raptors,29,75,/,/,75
Chaffin,30,/,/,/,0
Warriorbots 2.0,31,/,/,/,0
BZBot,32,/,/,/,0
